RDBMS_Type,RDBMS_Version,Native_Type,LT_Name,Logical_Type_ID
Oracle Database,12c,BFILE,"BFile",LogDes-7DD553FD-11E8-61FA-399D-2E531FB621D0@LOGDT10034,
Oracle Database,12c,BINARY_DOUBLE,"BINARY DOUBLE",LOGDT056,
Oracle Database,12c,BINARY_FLOAT,"BINARY FLOAT",LOGDT055,
Oracle Database,12c,BLOB,"BLOB",LOGDT029,
Oracle Database,12c,CHAR,"CHAR",LOGDT025,
Oracle Database,12c,CLOB,"CLOB",LOGDT028,
Oracle Database,12c,DATE,"Date",LOGDT007,
Oracle Database,12c,DECIMAL,"DECIMAL",LOGDT026,
Oracle Database,12c,FLOAT,"FLOAT",LOGDT021,
Oracle Database,12c,INTEGER,"Integer",LOGDT011,
Oracle Database,12c,INTERVAL DAY TO SECOND,"INTERVAL DAY TO SECOND",LOGDT049,
Oracle Database,12c,INTERVAL YEAR TO MONTH,"INTERVAL YEAR TO MONTH",LOGDT048,
Oracle Database,12c,LONG RAW,"Long_Raw",LogDes-7DD553FD-11E8-61FA-399D-2E531FB621D0@LOGDT10036,
Oracle Database,12c,LONG,"Long Char",LogDes-1768A872-F385-FDBA-D95E-0CB63F5908E2@LOGDT10045,
Oracle Database,12c,NCHAR,"NCHAR",LOGDT035,
Oracle Database,12c,NCLOB,"NClob",LogDes-7DD553FD-11E8-61FA-399D-2E531FB621D0@LOGDT10035,
Oracle Database,12c,NUMBER,"NUMERIC",LOGDT019,
Oracle Database,12c,NUMERIC,"NUMERIC",LOGDT019,
Oracle Database,12c,NVARCHAR2,"NVARCHAR",LOGDT037,
Oracle Database,12c,RAW,"Raw",LogDes-4BABEC65-108B-2A3C-F7C4-84AC47D292B0@LOGDT10040,
Oracle Database,12c,REAL,"REAL",LOGDT022,
Oracle Database,12c,ROWID,"ROWID",LOGDT032,
Oracle Database,12c,SMALLINT,"SMALLINT",LOGDT018,
Oracle Database,12c,TIMESTAMP WITH LOCAL TIME ZONE,"TIMESTAMP WITH LOCAL TIME ZONE",LOGDT047,
Oracle Database,12c,TIMESTAMP WITH TIME ZONE,"TIMESTAMP WITH TIME ZONE",LOGDT046,
Oracle Database,12c,TIMESTAMP,"Timestamp",LOGDT015,
Oracle Database,12c,UROWID,"URowID",LogDes-4BABEC65-108B-2A3C-F7C4-84AC47D292B0@LOGDT10041,
Oracle Database,12c,VARCHAR2,"VARCHAR",LOGDT024,
Oracle Database,12c,XMLTYPE,"XMLType",LOGDT050,
Oracle Database,12c,URITYPE,"URIType",LOGDT051,
Oracle Database,12c,HTTPURITYPE,"HTTPURIType",LOGDT052,
Oracle Database,12c,XDBURITYPE,"XDBURIType",LOGDT053,
Oracle Database,12c,DBURITYPE,"DBURIType",LOGDT054,
Oracle Database,12c,SYS.ANYDATA,"SYS_ANYDATA",LogDes-F046B719-7D91-3873-3302-38C441683842@LOGDT10010,
Oracle Database,12c,SYS.ANYDATASET,"SYS_ANYDATASET",LogDes-22E251EB-9F6C-8137-56B2-DD4B87DC1E33@LOGDT10030,
Oracle Database,12c,SYS.ANYTYPE,"SYS_ANYTYPE",LogDes-F046B719-7D91-3873-3302-38C441683842@LOGDT10011,
Oracle Database,12c,ORDSYS.ORDAudio,"ORDAUDIO",LogDes-4972B6D2-6F93-8AE5-6E24-3599E65A7CFE@LOGDT10005,
Oracle Database,12c,ORDSYS.ORDDoc,"ORDDOC",LogDes-4972B6D2-6F93-8AE5-6E24-3599E65A7CFE@LOGDT10009,
Oracle Database,12c,ORDSYS.ORDImage,"ORDIMAGE",LogDes-4972B6D2-6F93-8AE5-6E24-3599E65A7CFE@LOGDT10006,
Oracle Database,12c,ORDSYS.ORDImageSignature,"ORDIMAGE_SIGNATURE",LogDes-4972B6D2-6F93-8AE5-6E24-3599E65A7CFE@LOGDT10007,
Oracle Database,12c,ORDSYS.ORDVideo,"ORDVIDEO",LogDes-4972B6D2-6F93-8AE5-6E24-3599E65A7CFE@LOGDT10008,
Oracle Database,11g,BFILE,"BFile",LogDes-7DD553FD-11E8-61FA-399D-2E531FB621D0@LOGDT10034,
Oracle Database,11g,BINARY_DOUBLE,"BINARY DOUBLE",LOGDT056,
Oracle Database,11g,BINARY_FLOAT,"BINARY FLOAT",LOGDT055,
Oracle Database,11g,BLOB,"BLOB",LOGDT029,
Oracle Database,11g,CHAR,"CHAR",LOGDT025,
Oracle Database,11g,CLOB,"CLOB",LOGDT028,
Oracle Database,11g,DATE,"Date",LOGDT007,
Oracle Database,11g,DECIMAL,"DECIMAL",LOGDT026,
Oracle Database,11g,FLOAT,"FLOAT",LOGDT021,
Oracle Database,11g,INTEGER,"Integer",LOGDT011,
Oracle Database,11g,INTERVAL DAY TO SECOND,"INTERVAL DAY TO SECOND",LOGDT049,
Oracle Database,11g,INTERVAL YEAR TO MONTH,"INTERVAL YEAR TO MONTH",LOGDT048,
Oracle Database,11g,LONG RAW,"Long_Raw",LogDes-7DD553FD-11E8-61FA-399D-2E531FB621D0@LOGDT10036,
Oracle Database,11g,LONG,"Long Char",LogDes-1768A872-F385-FDBA-D95E-0CB63F5908E2@LOGDT10045,
Oracle Database,11g,NCHAR,"NCHAR",LOGDT035,
Oracle Database,11g,NCLOB,"NClob",LogDes-7DD553FD-11E8-61FA-399D-2E531FB621D0@LOGDT10035,
Oracle Database,11g,NUMBER,"NUMERIC",LOGDT019,
Oracle Database,11g,NUMERIC,"NUMERIC",LOGDT019,
Oracle Database,11g,NVARCHAR2,"NVARCHAR",LOGDT037,
Oracle Database,11g,RAW,"Raw",LogDes-4BABEC65-108B-2A3C-F7C4-84AC47D292B0@LOGDT10040,
Oracle Database,11g,REAL,"REAL",LOGDT022,
Oracle Database,11g,ROWID,"ROWID",LOGDT032,
Oracle Database,11g,SMALLINT,"SMALLINT",LOGDT018,
Oracle Database,11g,TIMESTAMP WITH LOCAL TIME ZONE,"TIMESTAMP WITH LOCAL TIME ZONE",LOGDT047,
Oracle Database,11g,TIMESTAMP WITH TIME ZONE,"TIMESTAMP WITH TIME ZONE",LOGDT046,
Oracle Database,11g,TIMESTAMP,"Timestamp",LOGDT015,
Oracle Database,11g,UROWID,"URowID",LogDes-4BABEC65-108B-2A3C-F7C4-84AC47D292B0@LOGDT10041,
Oracle Database,11g,VARCHAR2,"VARCHAR",LOGDT024,
Oracle Database,11g,XMLTYPE,"XMLType",LOGDT050,
Oracle Database,11g,URITYPE,"URIType",LOGDT051,
Oracle Database,11g,HTTPURITYPE,"HTTPURIType",LOGDT052,
Oracle Database,11g,XDBURITYPE,"XDBURIType",LOGDT053,
Oracle Database,11g,DBURITYPE,"DBURIType",LOGDT054,
Oracle Database,11g,SYS.ANYDATA,"SYS_ANYDATA",LogDes-F046B719-7D91-3873-3302-38C441683842@LOGDT10010,
Oracle Database,11g,SYS.ANYDATASET,"SYS_ANYDATASET",LogDes-22E251EB-9F6C-8137-56B2-DD4B87DC1E33@LOGDT10030,
Oracle Database,11g,SYS.ANYTYPE,"SYS_ANYTYPE",LogDes-F046B719-7D91-3873-3302-38C441683842@LOGDT10011,
Oracle Database,11g,ORDSYS.ORDAudio,"ORDAUDIO",LogDes-4972B6D2-6F93-8AE5-6E24-3599E65A7CFE@LOGDT10005,
Oracle Database,11g,ORDSYS.ORDDoc,"ORDDOC",LogDes-4972B6D2-6F93-8AE5-6E24-3599E65A7CFE@LOGDT10009,
Oracle Database,11g,ORDSYS.ORDImage,"ORDIMAGE",LogDes-4972B6D2-6F93-8AE5-6E24-3599E65A7CFE@LOGDT10006,
Oracle Database,11g,ORDSYS.ORDImageSignature,"ORDIMAGE_SIGNATURE",LogDes-4972B6D2-6F93-8AE5-6E24-3599E65A7CFE@LOGDT10007,
Oracle Database,11g,ORDSYS.ORDVideo,"ORDVIDEO",LogDes-4972B6D2-6F93-8AE5-6E24-3599E65A7CFE@LOGDT10008,
Oracle Database,10g,BFILE,"BFile",LogDes-7DD553FD-11E8-61FA-399D-2E531FB621D0@LOGDT10034,
Oracle Database,10g,BINARY_DOUBLE,"BINARY DOUBLE",LOGDT056,
Oracle Database,10g,BINARY_FLOAT,"BINARY FLOAT",LOGDT055,
Oracle Database,10g,BLOB,"BLOB",LOGDT029,
Oracle Database,10g,CHAR,"CHAR",LOGDT025,
Oracle Database,10g,CLOB,"CLOB",LOGDT028,
Oracle Database,10g,DATE,"Date",LOGDT007,
Oracle Database,10g,DECIMAL,"DECIMAL",LOGDT026,
Oracle Database,10g,FLOAT,"FLOAT",LOGDT021,
Oracle Database,10g,INTEGER,"Integer",LOGDT011,
Oracle Database,10g,INTERVAL DAY TO SECOND,"INTERVAL DAY TO SECOND",LOGDT049,
Oracle Database,10g,INTERVAL YEAR TO MONTH,"INTERVAL YEAR TO MONTH",LOGDT048,
Oracle Database,10g,LONG RAW,"Long_Raw",LogDes-7DD553FD-11E8-61FA-399D-2E531FB621D0@LOGDT10036,
Oracle Database,10g,LONG,"Long Char",LogDes-1768A872-F385-FDBA-D95E-0CB63F5908E2@LOGDT10045,
Oracle Database,10g,NCHAR,"NCHAR",LOGDT035,
Oracle Database,10g,NCLOB,"NClob",LogDes-7DD553FD-11E8-61FA-399D-2E531FB621D0@LOGDT10035,
Oracle Database,10g,NUMBER,"NUMERIC",LOGDT019,
Oracle Database,10g,NUMERIC,"NUMERIC",LOGDT019,
Oracle Database,10g,NVARCHAR2,"NVARCHAR",LOGDT037,
Oracle Database,10g,RAW,"Raw",LogDes-4BABEC65-108B-2A3C-F7C4-84AC47D292B0@LOGDT10040,
Oracle Database,10g,REAL,"REAL",LOGDT022,
Oracle Database,10g,ROWID,"ROWID",LOGDT032,
Oracle Database,10g,SMALLINT,"SMALLINT",LOGDT018,
Oracle Database,10g,TIMESTAMP WITH LOCAL TIME ZONE,"TIMESTAMP WITH LOCAL TIME ZONE",LOGDT047,
Oracle Database,10g,TIMESTAMP WITH TIME ZONE,"TIMESTAMP WITH TIME ZONE",LOGDT046,
Oracle Database,10g,TIMESTAMP,"Timestamp",LOGDT015,
Oracle Database,10g,UROWID,"URowID",LogDes-4BABEC65-108B-2A3C-F7C4-84AC47D292B0@LOGDT10041,
Oracle Database,10g,VARCHAR2,"VARCHAR",LOGDT024,
Oracle Database,10g,XMLTYPE,"XMLType",LOGDT050,
Oracle Database,10g,URITYPE,"URIType",LOGDT051,
Oracle Database,10g,HTTPURITYPE,"HTTPURIType",LOGDT052,
Oracle Database,10g,XDBURITYPE,"XDBURIType",LOGDT053,
Oracle Database,10g,DBURITYPE,"DBURIType",LOGDT054,
Oracle Database,10g,SYS.ANYDATA,"SYS_ANYDATA",LogDes-F046B719-7D91-3873-3302-38C441683842@LOGDT10010,
Oracle Database,10g,SYS.ANYDATASET,"SYS_ANYDATASET",LogDes-22E251EB-9F6C-8137-56B2-DD4B87DC1E33@LOGDT10030,
Oracle Database,10g,SYS.ANYTYPE,"SYS_ANYTYPE",LogDes-F046B719-7D91-3873-3302-38C441683842@LOGDT10011,
Oracle Database,10g,ORDSYS.ORDAudio,"ORDAUDIO",LogDes-4972B6D2-6F93-8AE5-6E24-3599E65A7CFE@LOGDT10005,
Oracle Database,10g,ORDSYS.ORDDoc,"ORDDOC",LogDes-4972B6D2-6F93-8AE5-6E24-3599E65A7CFE@LOGDT10009,
Oracle Database,10g,ORDSYS.ORDImage,"ORDIMAGE",LogDes-4972B6D2-6F93-8AE5-6E24-3599E65A7CFE@LOGDT10006,
Oracle Database,10g,ORDSYS.ORDImageSignature,"ORDIMAGE_SIGNATURE",LogDes-4972B6D2-6F93-8AE5-6E24-3599E65A7CFE@LOGDT10007,
Oracle Database,10g,ORDSYS.ORDVideo,"ORDVIDEO",LogDes-4972B6D2-6F93-8AE5-6E24-3599E65A7CFE@LOGDT10008,
Oracle,9i,BFILE,"BFile",LogDes-7DD553FD-11E8-61FA-399D-2E531FB621D0@LOGDT10034,
Oracle,9i,BLOB,"BLOB",LOGDT029,
Oracle,9i,CHAR,"CHAR",LOGDT025,
Oracle,9i,CLOB,"CLOB",LOGDT028,
Oracle,9i,DATE,"Date",LOGDT007,
Oracle,9i,DECIMAL,"DECIMAL",LOGDT026,
Oracle,9i,FLOAT,"FLOAT",LOGDT021,
Oracle,9i,INTEGER,"Integer",LOGDT011,
Oracle,9i,INTERVAL DAY TO SECOND,"INTERVAL DAY TO SECOND",LOGDT049,
Oracle,9i,INTERVAL YEAR TO MONTH,"INTERVAL YEAR TO MONTH",LOGDT048,
Oracle,9i,LONG RAW,"Long_Raw",LogDes-7DD553FD-11E8-61FA-399D-2E531FB621D0@LOGDT10036,
Oracle,9i,LONG,"Long Char",LogDes-1768A872-F385-FDBA-D95E-0CB63F5908E2@LOGDT10045,
Oracle,9i,NCHAR,"NCHAR",LOGDT035,
Oracle,9i,NCLOB,"NClob",LogDes-7DD553FD-11E8-61FA-399D-2E531FB621D0@LOGDT10035,
Oracle,9i,NUMBER,"NUMERIC",LOGDT019,
Oracle,9i,NUMERIC,"NUMERIC",LOGDT019,
Oracle,9i,NVARCHAR2,"NVARCHAR",LOGDT037,
Oracle,9i,RAW,"Raw",LogDes-4BABEC65-108B-2A3C-F7C4-84AC47D292B0@LOGDT10040,
Oracle,9i,REAL,"REAL",LOGDT022,
Oracle,9i,ROWID,"ROWID",LOGDT032,
Oracle,9i,SMALLINT,"SMALLINT",LOGDT018,
Oracle,9i,TIMESTAMP WITH LOCAL TIME ZONE,"TIMESTAMP WITH LOCAL TIME ZONE",LOGDT047,
Oracle,9i,TIMESTAMP WITH TIME ZONE,"TIMESTAMP WITH TIME ZONE",LOGDT046,
Oracle,9i,TIMESTAMP,"Timestamp",LOGDT015,
Oracle,9i,UROWID,"URowID",LogDes-4BABEC65-108B-2A3C-F7C4-84AC47D292B0@LOGDT10041,
Oracle,9i,VARCHAR2,"VARCHAR",LOGDT024,
Oracle,9i,XMLTYPE,"XMLType",LOGDT050,
Oracle,9i,URITYPE,"URIType",LOGDT051,
Oracle,9i,HTTPURITYPE,"HTTPURIType",LOGDT052,
Oracle,9i,XDBURITYPE,"XDBURIType",LOGDT053,
